iter	MultiLogloss
0	0.6825667342
1	0.6725717064
2	0.6628469536
3	0.6533861611
4	0.6442858848
5	0.6355849884
6	0.6273531962
7	0.6189932402
8	0.6103251962
9	0.6023271806
10	0.5948985525
11	0.5872665214
12	0.5798263277
13	0.5724942938
14	0.5656592628
15	0.5588095081
16	0.5523973829
17	0.5456992576
18	0.5392505813
19	0.531672624
20	0.5255923752
21	0.5191498025
22	0.513650928
23	0.5081793712
24	0.5028220014
25	0.4974123437
26	0.4923523617
27	0.4874348999
28	0.4828230308
29	0.4781672332
30	0.473370565
31	0.4687154812
32	0.4642880598
33	0.4595792885
34	0.4554471821
35	0.4517276395
36	0.4473668534
37	0.4437800168
38	0.4394447693
39	0.4358923485
40	0.4323879207
41	0.4290260337
42	0.4246735182
43	0.4212294823
44	0.4181187619
45	0.4147450127
46	0.4118007138
47	0.4088563209
48	0.4056985593
49	0.4030338065
50	0.4003990551
51	0.3978250393
52	0.3947385102
53	0.3921505216
54	0.3894271021
55	0.3870950279
56	0.3843639334
57	0.3817089209
58	0.3790107997
59	0.376044136
60	0.3739939906
61	0.3719995139
62	0.3700590812
63	0.3675125808
64	0.3654984432
65	0.3634714775
66	0.3608943408
67	0.3591952464
68	0.35751268
69	0.3549193825
70	0.3527402471
71	0.350278946
72	0.3484821605
73	0.3469908504
74	0.3451871271
75	0.3431956261
76	0.3413128625
77	0.3388009339
78	0.3369093016
79	0.3352308447
80	0.3326060041
81	0.3312694358
82	0.3292603325
83	0.3275046592
84	0.3252942365
85	0.3237464903
86	0.3222297789
87	0.3206173933
88	0.3188512245
89	0.3177482415
90	0.3166772349
91	0.3151386377
92	0.3135703379
93	0.312643294
94	0.3115296012
95	0.3105482524
96	0.3088312557
97	0.307740762
98	0.3068332382
99	0.3057305946
100	0.3041494272
101	0.3030574327
102	0.3023039049
103	0.3002208269
104	0.2988262709
105	0.2978937416
106	0.2964490618
107	0.2940576496
108	0.2929610401
109	0.2915151508
110	0.2907596706
111	0.2893915697
112	0.2885026773
113	0.2877264232
114	0.2861819851
115	0.284956471
116	0.2830755313
117	0.2825195314
118	0.2811074343
119	0.2805766413
120	0.2800589836
121	0.2791597992
122	0.2786683251
123	0.2768438281
124	0.2758162548
125	0.2753497608
126	0.2741762864
127	0.2735015526
128	0.272416722
129	0.2711211738
130	0.2700247836
131	0.269423259
132	0.2683020093
133	0.2679087275
134	0.2672078842
135	0.2662222266
136	0.2646940115
137	0.2642877643
138	0.2635587437
139	0.2621745574
140	0.2618313149
141	0.2608843125
142	0.2600474865
143	0.2588025218
144	0.2578363524
145	0.2568486416
146	0.2556299537
147	0.2543249647
148	0.252909921
149	0.2516599114
150	0.2504996533
151	0.2500273257
152	0.2492295852
153	0.2481033786
154	0.2476336324
155	0.2471456923
156	0.2456070341
157	0.2445553712
158	0.2430962826
159	0.2418959666
160	0.2402516708
161	0.2395152995
162	0.2388714919
163	0.2385800142
164	0.2375133695
165	0.236326611
166	0.235315748
167	0.2343013866
168	0.2332025467
169	0.2320587212
170	0.2309301895
171	0.2298201978
172	0.2292693025
173	0.2290793059
174	0.227809703
175	0.2271335958
176	0.2264458692
177	0.2255727497
178	0.2242624477
179	0.2234034584
180	0.2228645528
181	0.2213750752
182	0.2211236816
183	0.2205126516
184	0.2201665975
185	0.218897074
186	0.2183305977
187	0.2174314877
188	0.2165763991
189	0.2158317541
190	0.2148685558
191	0.2138875412
192	0.2127081105
193	0.2117862784
194	0.2109208809
195	0.2095365047
196	0.2089112357
197	0.2081350269
198	0.2077576622
199	0.2072945886
200	0.2064016527
201	0.2058209705
202	0.2052740998
203	0.2043276067
204	0.2040669947
205	0.2032294888
206	0.2027088724
207	0.2026066712
208	0.2020187636
209	0.2019158215
210	0.2011871434
211	0.2004495634
212	0.1994334653
213	0.1992453985
214	0.1984507882
215	0.1973041881
216	0.19650228
217	0.1964142767
218	0.1960508159
219	0.1954195169
220	0.1943326892
221	0.1937723824
222	0.1929020149
223	0.1919483195
224	0.1910548297
225	0.190367047
226	0.1900180788
227	0.1895026099
228	0.1887861561
229	0.1885623958
230	0.1877385315
231	0.1865728473
232	0.1863887107
233	0.1862946857
234	0.1858206496
235	0.1850399584
236	0.184579762
237	0.1839548727
238	0.1836761
239	0.1833347368
240	0.1824069402
241	0.1817021527
242	0.180962773
243	0.1808910135
244	0.1800216445
245	0.1792075614
246	0.1790231171
247	0.1785958998
248	0.1777503869
249	0.1770117832
250	0.1764489494
251	0.1752297454
252	0.1743858994
253	0.173797185
254	0.1732741894
255	0.1728221851
256	0.1722051107
257	0.171468355
258	0.1710391196
259	0.1700910245
260	0.169656587
261	0.1690494476
262	0.1687849515
263	0.1683983583
264	0.1675884844
265	0.1673477876
266	0.1669511635
267	0.1662991878
268	0.1655066018
269	0.1647623375
270	0.1644825229
271	0.1641711818
272	0.1638116137
273	0.1634948597
274	0.1629161666
275	0.1622663063
276	0.1616374816
277	0.1609298327
278	0.1600413043
279	0.1596495907
280	0.1589513002
281	0.1583565669
282	0.1579475532
283	0.1578342757
284	0.1572003968
285	0.1565481927
286	0.1561381193
287	0.1551685842
288	0.1550058479
289	0.1546682378
290	0.1543850666
291	0.1535483801
292	0.1528623389
293	0.1523416396
294	0.1517723531
295	0.1514538837
296	0.1512415273
297	0.1509174548
298	0.1502870704
299	0.1498994726
300	0.1495389965
301	0.1491240516
302	0.148491361
303	0.1479611272
304	0.1473660334
305	0.1467567753
306	0.1466455858
307	0.1465156912
308	0.1459156715
309	0.1455952997
310	0.1448978924
311	0.1446475984
312	0.1440916976
313	0.1435423139
314	0.143296911
315	0.1425925615
316	0.1420350304
317	0.1415359487
318	0.1410572974
319	0.1407201496
320	0.1403009635
321	0.1398400854
322	0.1396456568
323	0.1388775376
324	0.1383652792
325	0.1374532458
326	0.1371756511
327	0.1370118397
328	0.1367597296
329	0.1365661612
330	0.1361758088
331	0.1356224192
332	0.1349117722
333	0.13420291
334	0.1336523027
335	0.1336244136
336	0.1333494963
337	0.1331043024
338	0.1325453211
339	0.1324800102
340	0.1319787869
341	0.1317063002
342	0.1313142031
343	0.1305326677
344	0.1297638404
345	0.129285236
346	0.128807455
347	0.1286185465
348	0.128112031
349	0.1276843175
350	0.1272398101
351	0.1272111588
352	0.1268676514
353	0.1266240672
354	0.1262595182
355	0.1262387366
356	0.1255400736
357	0.1252271297
358	0.1248465662
359	0.1245456876
360	0.1239701739
361	0.1234836964
362	0.1230044293
363	0.1228197409
364	0.1222404215
365	0.1217049245
366	0.1211217537
367	0.1207227522
368	0.1203581912
369	0.1199455112
370	0.1193987083
371	0.1190672215
372	0.118554238
373	0.1182290114
374	0.1176527397
375	0.1173395177
376	0.116632131
377	0.1163120235
378	0.1159142781
379	0.1154245172
380	0.1148847416
381	0.1144341373
382	0.1141049973
383	0.1136072745
384	0.1131457108
385	0.1126658791
386	0.1122860011
387	0.1119928742
388	0.1116396403
389	0.111412439
390	0.1112278841
391	0.1109851974
392	0.1105087396
393	0.1099554213
394	0.1093299182
395	0.1089281375
396	0.1085538532
397	0.1082300253
398	0.1078175632
399	0.1074819322
400	0.1069184848
401	0.1065508442
402	0.1063461289
403	0.1059287063
404	0.1055869241
405	0.1054338385
406	0.1049164841
407	0.1046654351
408	0.1041818004
409	0.1039099917
410	0.1035055242
411	0.1033341173
412	0.1027671819
413	0.1022501826
414	0.1019665595
415	0.1015825367
416	0.1014996952
417	0.1011764039
418	0.1009242544
419	0.1005435401
420	0.100208504
421	0.09995070904
422	0.09968208771
423	0.09934887837
424	0.0992881942
425	0.0990298815
426	0.09870438159
427	0.09842144641
428	0.09821892442
429	0.09779990636
430	0.09746878503
431	0.09702652174
432	0.09681398972
433	0.09626894306
434	0.09591631854
435	0.09555518827
436	0.09529162726
437	0.09504003359
438	0.09464465365
439	0.09426973119
440	0.09410935446
441	0.09394520484
442	0.09361722998
443	0.09327002846
444	0.09299870596
445	0.09259743683
446	0.09239152072
447	0.09212850663
448	0.09179865461
449	0.09134832823
450	0.09109915959
451	0.09073590292
452	0.09037251314
453	0.09002313548
454	0.08963948506
455	0.08934409094
456	0.08893836436
457	0.08863887136
458	0.08827105378
459	0.08803178097
460	0.0877572951
461	0.08756802259
462	0.08729485481
463	0.08694283084
464	0.08650830095
465	0.08628589963
466	0.08587037098
467	0.08555255749
468	0.08508371584
469	0.08473686974
470	0.08444004994
471	0.08426073574
472	0.08402720573
473	0.08367129892
474	0.08353332779
475	0.0831493633
476	0.08279658283
477	0.08247362808
478	0.08227449502
479	0.08204984231
480	0.08169213245
481	0.08150095011
482	0.08120386377
483	0.08106737282
484	0.08084807545
485	0.08054924181
486	0.08020898103
487	0.07997808827
488	0.07956154515
489	0.07921300149
490	0.07887444356
491	0.07859878123
492	0.07832328716
493	0.0780763831
494	0.07792432583
495	0.07761585021
496	0.07727516403
497	0.07709684561
498	0.07687127689
499	0.07670267921
500	0.07655058901
501	0.07620723835
502	0.07591929872
503	0.07572822764
504	0.07559622631
505	0.07533140547
506	0.07512211124
507	0.07484621965
508	0.07448732635
509	0.07431148411
510	0.07415611825
511	0.07399396124
512	0.07378935574
513	0.07373395807
514	0.07343839753
515	0.07326764962
516	0.07311410692
517	0.07300591771
518	0.07277107215
519	0.07253756862
520	0.07242383303
521	0.0721966895
522	0.07203962807
523	0.0718572991
524	0.07164779509
525	0.0714892175
526	0.07125080898
527	0.07108382273
528	0.07092178149
529	0.07078234455
530	0.0704922901
531	0.0703186051
532	0.07015668858
533	0.06999988499
534	0.06978783325
535	0.06953095226
536	0.0692875641
537	0.06911759841
538	0.06878107775
539	0.06854034825
540	0.06833086047
541	0.06819148812
542	0.06802128383
543	0.0677558688
544	0.06759981596
545	0.06731795329
546	0.06713406302
547	0.06698503671
548	0.06680765126
549	0.06661153574
550	0.06639355003
551	0.06624741766
552	0.06612035056
553	0.06595769437
554	0.06576401745
555	0.06565434807
556	0.06552668563
557	0.06535812839
