iter	Passed	Remaining
0	234	234283
1	240	120163
2	274	91082
3	289	72057
4	321	63940
5	367	60935
6	420	59614
7	446	55315
8	515	56756
9	581	57573
10	648	58290
11	750	61777
12	773	58694
13	824	58102
14	882	57921
15	897	55195
16	1036	59955
17	1148	62645
18	1210	62522
19	1273	62424
20	1336	62308
21	1438	63926
22	1528	64947
23	1664	67677
24	1679	65493
25	1740	65216
26	1756	63307
27	1772	61531
28	1856	62161
29	1865	60331
30	1976	61771
31	2057	62252
32	2114	61959
33	2191	62274
34	2238	61714
35	2290	61337
36	2377	61879
37	2481	62817
38	2547	62768
39	2557	61383
40	2613	61133
41	2624	59857
42	2749	61195
43	2847	61859
44	2887	61275
45	3011	62453
46	3026	61375
47	3089	61282
48	3156	61264
49	3228	61347
50	3243	60361
51	3341	60923
52	3415	61024
53	3515	61594
54	3664	62969
55	3741	63064
56	3803	62921
57	3958	64299
58	4105	65474
59	4214	66030
60	4238	65248
61	4254	64363
62	4299	63947
63	4429	64776
64	4492	64617
65	4539	64237
66	4652	64786
67	4737	64931
68	4787	64603
69	4907	65196
70	5040	65956
71	5104	65789
72	5186	65857
73	5207	65159
74	5351	66007
75	5462	66410
76	5540	66419
77	5630	66551
78	5693	66377
79	5791	66605
80	5911	67074
81	5975	66893
82	6073	67099
83	6185	67448
84	6273	67530
85	6336	67348
86	6437	67561
87	6533	67711
88	6636	67929
89	6688	67631
90	6740	67330
91	6823	67342
92	6971	67991
93	7065	68103
94	7128	67905
95	7221	68005
96	7325	68193
97	7379	67922
98	7471	68002
99	7559	68036
100	7669	68263
101	7780	68494
102	7799	67925
103	7956	68551
104	8119	69212
105	8196	69129
106	8251	68861
107	8375	69178
108	8483	69344
109	8602	69600
110	8672	69454
111	8777	69590
112	8862	69570
113	8948	69546
114	9099	70025
115	9225	70306
116	9320	70339
117	9360	69962
118	9517	70458
119	9547	70014
120	9563	69474
121	9635	69342
122	9657	68858
123	9760	68949
124	9868	69077
125	9891	68610
126	10027	68928
127	10109	68867
128	10206	68913
129	10343	69219
130	10446	69298
131	10499	69039
132	10585	69005
133	10607	68553
134	10732	68765
135	10854	68954
136	10945	68947
137	10980	68585
138	11087	68680
139	11200	68806
140	11242	68489
141	11328	68451
142	11423	68458
143	11541	68610
144	11659	68748
145	11730	68614
146	11833	68665
147	11977	68954
148	12129	69278
149	12232	69319
150	12371	69560
